"","OBJECTID","PA_area"
"1011",1752,616687963.219555
"1012",1753,548804399.031693
"1013",1754,616687963.219715
"1014",1755,616687963.219555
"1015",1756,616687963.219715
"1016",1757,616687963.219872
"1017",1758,364427297.965105
"1018",1759,75295078.3115859
"1019",1760,276678.935807228
"1020",1771,245729531.954022
"1021",1773,185284487.024655
"1022",1774,71224749.3538579
"1023",1776,226059808.253298
"1024",1777,614631374.885884
"1025",1778,350319207.506209
"1026",1779,93753902.7866915
"1027",1783,1047578.7742247
"1028",1784,157839683.473027
"1029",1785,74559987.1421338
"1030",1792,130814588.162553
"1031",1793,633549993.992023
"1032",1794,480003249.545884
"1033",1795,660146245.401949
"1034",1796,914841913.401196
"1035",1797,569143465.634973
"1036",1798,109786394.108487
"1037",1799,598057222.514167
"1038",1800,617036742.389077
"1039",1801,617355395.405803
"1040",1802,619474987.896133
"1041",1803,617357862.969653
"1042",1804,617027481.632393
"1043",1805,616992119.276237
"1044",1806,617050162.796542
"1045",1807,617027481.632236
"1046",1808,528041625.407626
"1047",1809,593880714.111727
"1048",1810,893670573.425892
"1049",1811,1234054963.26447
"1050",1812,1029725715.307
"1051",1813,128087088.135682
"1052",1814,51903489.8466258
"1053",1815,303241064.417888
"1054",1816,522215237.724769
"1055",1817,438218554.118949
"1056",1818,177584054.979358
"1057",1819,616390668.362809
"1058",1820,662423888.234056
"1059",1821,796936917.786464
"1060",1822,594708039.359279
"1061",1823,332320634.954163
"1062",1824,109021306.858569
"1063",1825,217245396.325929
"1064",1826,332072074.157457
"1065",1827,617027481.632236
"1066",1828,386897107.624507
"1067",1829,61117953.7542465
"1068",1831,41955164.5745155
"1069",1832,519581706.297184
"1070",1833,596014571.226041
"1071",1834,617004383.29319
"1072",1835,617037105.649643
"1073",1836,616577312.641389
"1074",1837,617200831.790985
"1075",1838,797259375.309332
"1076",1839,1234054963.26417
"1077",1840,835461005.729687
"1078",1841,596026270.948647
"1079",1842,617027481.632236
"1080",1843,617027481.632542
"1081",1844,617027481.632084
"1082",1845,611482317.792332
"1083",1846,92437529.3255932
"1084",1847,91267591.2187576
"1085",1848,106654811.048321
"1086",1849,613597578.320445
