"","OBJECTID","dist_rod","rod","dist_hid","hid","dist_hidro_rod","hid_rod"
"174",174,82753.501369788,"rod",101843.763865016,"hid",82753.5013697888,"hid_rod"
"175",175,70394.0889012242,"rod",78577.2969661668,"hid",70394.0889012242,"hid_rod"
"176",176,45643.2436326592,"rod",54370.9238613888,"hid",45643.2436326592,"hid_rod"
"177",177,20934.5126963844,"rod",31356.3256780148,"hid",20934.5126963871,"hid_rod"
"178",178,323.339334936399,"rod",10107.3013021351,"hid",323.339334936399,"hid_rod"
"179",179,628.421136324517,"rod",9488.34990062609,"hid",628.421136324517,"hid_rod"
"180",180,22869.5309588639,"rod",27649.8667784222,"hid",22869.5309588639,"hid_rod"
"181",181,42117.478547564,"rod",46563.197418245,"hid",42117.4785475646,"hid_rod"
"182",182,96283.985780636,"rod",130885.256347313,"hid",96283.9857806362,"hid_rod"
"183",183,73754.6454579239,"rod",124164.184826756,"hid",73754.6454579239,"hid_rod"
"184",184,49305.2089919808,"rod",122282.174086418,"hid",49305.2089919806,"hid_rod"
"185",185,25034.205815001,"rod",125455.880456195,"hid",25034.2058150021,"hid_rod"
"186",186,1292.15789269962,"rod",126489.338392266,"hid",1292.15789269927,"hid_rod"
"187",187,22557.6077133495,"rod",115509.597731839,"hid",22557.6077133504,"hid_rod"
"188",188,24918.5437469823,"rod",109260.94593581,"hid",24918.5437469823,"hid_rod"
"189",189,167071.924227906,"rod",312270.291026047,"hid",167071.924227906,"hid_rod"
"190",190,153181.462858151,"rod",296748.282470422,"hid",153181.462858151,"hid_rod"
"191",191,139292.90874928,"rod",273180.039147109,"hid",139292.90874928,"hid_rod"
"192",192,125761.420449854,"rod",249864.801293685,"hid",125761.420449854,"hid_rod"
"193",193,115561.218292444,"rod",226914.856996641,"hid",115561.218292444,"hid_rod"
"194",194,103656.182430939,"rod",204453.256783217,"hid",103656.182430938,"hid_rod"
"195",195,89917.490108531,"rod",181867.812819666,"hid",89917.4901085309,"hid_rod"
"196",196,78561.7354087141,"rod",157806.384696464,"hid",78561.7354087141,"hid_rod"
"197",197,69416.8577163892,"rod",134042.676011669,"hid",69416.8577163892,"hid_rod"
"198",198,63255.0451549047,"rod",110823.08328308,"hid",63255.0451549047,"hid_rod"
"199",199,59732.1342803735,"rod",88334.1107607008,"hid",59732.1342803746,"hid_rod"
"200",200,52804.9910158824,"rod",66846.5213855612,"hid",52804.9910158824,"hid_rod"
"201",201,40004.280094782,"rod",48793.9727424109,"hid",40004.2800947813,"hid_rod"
"202",202,15225.1042477568,"rod",24858.0389255582,"hid",15225.1042477568,"hid_rod"
"203",203,6012.73638878741,"rod",8.71891351710436,"hid",6012.73638878741,"hid_rod"
"204",204,3545.462371909,"rod",23484.1581338527,"hid",3545.462371909,"hid_rod"
"205",205,27202.5223947069,"rod",43458.0250557566,"hid",27202.5223947069,"hid_rod"
"206",206,50716.5812650533,"rod",62923.8751939796,"hid",50716.5812650533,"hid_rod"
"207",207,75187.218512497,"rod",81327.2807918478,"hid",75187.218512497,"hid_rod"
"208",208,53522.9026966866,"rod",352283.120161672,"hid",53522.9026966866,"hid_rod"
"209",209,78303.1382682576,"rod",341489.457283846,"hid",78303.1382682576,"hid_rod"
"210",210,128110.972918237,"rod",163699.711636871,"hid",128110.972918237,"hid_rod"
"211",211,103910.896182374,"rod",154377.429031987,"hid",103910.896182375,"hid_rod"
"212",212,79938.5459574282,"rod",148720.654563002,"hid",79938.5459574282,"hid_rod"
"213",213,55770.2500962827,"rod",142518.258966518,"hid",55770.2500962827,"hid_rod"
"214",214,32579.5054093039,"rod",123078.867252771,"hid",32579.5054093036,"hid_rod"
"215",215,9998.41819697161,"rod",106010.053769189,"hid",9998.41819697161,"hid_rod"
"216",216,2853.06724064185,"rod",92631.6686086613,"hid",2853.06724064176,"hid_rod"
"217",217,4821.46880994372,"rod",84710.632199249,"hid",4821.46880994372,"hid_rod"
"218",218,104710.141788505,"rod",241376.691632444,"hid",104710.141788505,"hid_rod"
"219",219,92307.4396115332,"rod",217667.005596378,"hid",92307.4396115332,"hid_rod"
"220",220,82967.1764005421,"rod",194161.761221471,"hid",82967.1764005421,"hid_rod"
"221",221,68658.7356690313,"rod",171059.034847111,"hid",68658.7356690312,"hid_rod"
"222",222,56411.0307917815,"rod",148582.059258783,"hid",56411.0307917815,"hid_rod"
"223",223,45542.2797266347,"rod",127063.348145235,"hid",45542.2797266347,"hid_rod"
"224",224,38764.2801823032,"rod",103047.15377661,"hid",38764.2801823032,"hid_rod"
"225",225,36457.2328672561,"rod",78755.8471699878,"hid",36457.232867256,"hid_rod"
"226",226,28551.1501460883,"rod",55020.6761672046,"hid",28551.1501460883,"hid_rod"
"227",227,25796.7935904271,"rod",32454.0156757784,"hid",25796.7935904271,"hid_rod"
"228",228,7832.22822414357,"rod",13920.970675782,"hid",7832.22822414736,"hid_rod"
"229",229,9855.2165229836,"rod",4735.1330934836,"hid",9855.21652298139,"hid_rod"
"230",230,8846.65407285319,"rod",27130.8872093981,"hid",8846.65407285108,"hid_rod"
"231",231,31647.9862545846,"rod",51657.9172683738,"hid",31647.9862545846,"hid_rod"
"232",232,54277.908235235,"rod",76446.626803288,"hid",54277.908235235,"hid_rod"
"233",233,78378.9348761885,"rod",98206.8795356174,"hid",78378.9348761885,"hid_rod"
"234",234,43555.175716842,"rod",385871.133912865,"hid",43555.175716842,"hid_rod"
"235",235,18958.4635620713,"rod",373031.627661328,"hid",18958.4635620723,"hid_rod"
"236",236,5630.80756281235,"rod",357633.513378945,"hid",5630.80756281199,"hid_rod"
"237",237,30219.351929733,"rod",343372.663244321,"hid",30219.3519297334,"hid_rod"
"238",238,52202.6777921848,"rod",330396.372861831,"hid",52202.6777921849,"hid_rod"
"239",239,73376.0664061936,"rod",318861.509036798,"hid",73376.0664061936,"hid_rod"
"240",240,95787.7725307818,"rod",308929.574717939,"hid",95787.7725307818,"hid_rod"
"241",241,95306.407062224,"rod",300759.411825477,"hid",95306.4070622241,"hid_rod"
"242",242,86597.9190318734,"rod",251705.82076583,"hid",86597.9190318734,"hid_rod"
"243",243,89905.8848176846,"rod",232163.596913582,"hid",89905.8848176846,"hid_rod"
"244",244,95712.4200514766,"rod",213769.800154935,"hid",95712.4200514766,"hid_rod"
"245",245,117694.010878226,"rod",169148.339505718,"hid",117694.010878226,"hid_rod"
"246",246,123975.355204221,"rod",159444.843519101,"hid",123975.355204221,"hid_rod"
"247",247,111357.826476519,"rod",153256.75200599,"hid",111357.826476519,"hid_rod"
"248",248,88345.8893702396,"rod",151016.828573892,"hid",88345.8893702398,"hid_rod"
"249",249,65612.6304702187,"rod",129572.92829399,"hid",65612.6304702181,"hid_rod"
"250",250,44085.0032948456,"rod",107820.842532026,"hid",44085.0032948456,"hid_rod"
"251",251,25303.5947459259,"rod",87832.1131466714,"hid",25303.5947459263,"hid_rod"
"252",252,20808.8611417353,"rod",71109.646794079,"hid",20808.8611417353,"hid_rod"
"253",253,945.51601497221,"rod",60428.7964195671,"hid",945.51601497221,"hid_rod"
"254",254,104165.037716306,"rod",17537.0172019307,"hid",17537.0172019187,"hid_rod"
"255",255,111280.987707564,"rod",22610.2651123743,"hid",22610.2651123711,"hid_rod"
"256",256,97902.6323420441,"rod",259073.647789392,"hid",97902.6323420441,"hid_rod"
"257",257,84013.4395807954,"rod",234629.254047113,"hid",84013.4395807954,"hid_rod"
"258",258,70176.3674305753,"rod",210300.766782636,"hid",70176.3674305753,"hid_rod"
"259",259,60625.1685943778,"rod",186159.020339584,"hid",60625.1685943778,"hid_rod"
"260",260,48768.512131238,"rod",162281.194943089,"hid",48768.512131238,"hid_rod"
"261",261,34224.0403150435,"rod",138579.514399505,"hid",34224.0403150435,"hid_rod"
"262",262,22874.6984869633,"rod",115227.184074862,"hid",22874.6984869633,"hid_rod"
"263",263,14592.2495445021,"rod",92726.312418789,"hid",14592.2495445021,"hid_rod"
"264",264,11617.2832179479,"rod",71762.2645103651,"hid",11617.2832179477,"hid_rod"
"265",265,4051.38633914697,"rod",49336.1085366679,"hid",4051.3863391479,"hid_rod"
"266",266,8737.91567598103,"rod",25530.337713406,"hid",8737.91567598103,"hid_rod"
"267",267,4032.14447782638,"rod",514.491633446007,"hid",4032.14447782629,"hid_rod"
"268",268,17727.6757132606,"rod",19544.1237296915,"hid",17727.6757132606,"hid_rod"
"269",269,4934.60470470254,"rod",39874.3124870458,"hid",4934.60470470254,"hid_rod"
"270",270,27336.9789608846,"rod",59781.3130607571,"hid",27336.9789608846,"hid_rod"
"271",271,47773.165104575,"rod",82374.6163818788,"hid",47773.1651045751,"hid_rod"
"272",272,65218.5679982256,"rod",106066.174913036,"hid",65218.5679982256,"hid_rod"
"273",273,24523.7937016692,"rod",354190.968386805,"hid",24523.7937016692,"hid_rod"
"274",274,3391.62850145054,"rod",337933.956630359,"hid",3391.62850144966,"hid_rod"
"275",275,17742.4278934101,"rod",322802.58792324,"hid",17742.42789341,"hid_rod"
"276",276,40061.2002568327,"rod",308962.291071158,"hid",40061.2002568327,"hid_rod"
"277",277,63311.0388661966,"rod",296593.861500587,"hid",63311.0388661966,"hid_rod"
"278",278,74600.4528826945,"rod",285888.395928778,"hid",74600.4528826945,"hid_rod"
"279",279,70728.14612376,"rod",277038.744707097,"hid",70728.14612376,"hid_rod"
