"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1326",2175,617990347.363403,24757.9070743134,25152.9428723144,24757.9070743134
"1327",2176,617990347.362934,3239.22394327034,20528.0730366091,3239.22394327043
"1328",2177,619031246.306203,18385.1900224539,21728.2531041212,18385.1900224539
"1329",2178,833877304.251169,40011.8066623063,26612.9337412463,26612.9337412489
"1330",2179,624577169.91246,61524.9259021905,38437.6445779457,38437.6445779456
"1331",2180,617990347.363083,83024.3072935877,19122.5960270437,19122.5960270429
"1332",2181,617990347.363083,104605.550955847,8909.90844188066,8909.90844187999
"1333",2182,618357406.185558,126188.165386255,8062.5393489071,8062.53934891389
"1334",2183,618006260.646238,147771.032508697,3256.39701051477,3256.39701050992
"1335",2184,617999187.880144,169355.373194497,305.82611963677,305.826119645856
"1336",2185,617990347.363083,190961.032406169,1717.98556423569,1717.98556423719
"1337",2186,617442271.43825,212610.738678961,13436.097590868,13436.0975908638
"1338",2187,617978191.508667,234261.228734998,12730.4058842373,12730.4058842416
"1339",2188,617990347.363083,255912.634704242,17123.7065602513,17123.7065602472
"1340",2189,591566782.3709,277493.830511746,2803.21360230952,2803.21360231932
"1341",2190,12533001.8617985,299049.80570052,3525.52072975616,3525.52072975982
"1342",2192,210641030.485458,334432.305401603,10659.0246739583,10659.0246739503
"1343",2193,617990347.362934,339654.404852879,4815.77427889285,4815.77427889087
"1344",2194,617990347.363083,344917.452107682,25240.9506268809,25240.9506268881
"1345",2195,617990347.362934,350203.670012868,49580.009011985,49580.0090119927
"1346",2196,617990347.363083,355490.489586801,73393.2030111955,73393.2030111953
"1347",2197,616750711.602398,342669.585330522,93570.3918319694,93570.3918319694
"1348",2198,617990347.363251,325202.310303726,111381.216285971,111381.21628597
"1349",2199,617990347.363083,308778.261513452,125156.215903721,125156.215903724
"1350",2200,618791610.086302,293572.582692197,131157.260277913,131157.260277913
"1351",2201,617990347.362934,279783.992244121,137071.10228738,137071.102287374
"1352",2202,617990347.363083,267631.608565788,133640.944918985,133640.944918985
"1353",2203,617990347.363083,257347.329796134,123639.866526231,123639.866526239
"1354",2204,617990347.362934,242738.353175086,100484.76808637,100484.768086378
"1355",2205,617990347.363083,225043.061736928,78478.8175307018,78478.8175307098
"1356",2206,617990347.363251,208840.418934736,58923.8941161184,58923.8941161268
"1357",2207,617990347.363083,186756.461731111,45127.4884257329,45127.4884257407
"1358",2208,617990347.362934,161741.043425445,40203.3926349387,40203.3926349332
"1359",2209,617990347.363083,136726.378154403,34901.3504331437,34901.3504331492
"1360",2210,404210421.447988,111712.972910072,14326.9135448375,14326.9135448378
"1361",2222,35160539.6934622,177607.553223085,24812.3887187987,24812.3887188022
"1362",2223,178941.917822491,193775.016585029,9164.31362475502,9164.31362476023
"1363",2226,1643943.00482345,147863.993999275,15174.2198975209,15174.219897511
"1364",2227,159024662.072353,137557.272342735,5728.32369649261,5728.32369650011
"1365",2228,272463937.238177,130992.781330869,3543.34050231629,3543.34050231038
"1366",2229,190335319.712073,129030.992024777,5344.74565543586,5344.7456554307
"1367",2230,78480525.3731075,131028.547015695,13166.9951836807,13166.9951836745
"1368",2231,183698787.676907,133413.968817969,28843.2484443546,28843.2484443594
"1369",2232,12958378.4369618,120246.700681705,48598.979406475,48598.9794064727
"1370",2233,351872242.333813,107764.680667437,63492.7924060637,63492.7924060613
"1371",2234,619136536.943346,83940.3850224425,59251.9115815692,59251.9115815701
"1372",2235,617440337.887788,58961.6066152923,35835.5881190205,35835.5881190156
"1373",2236,618292726.873699,34037.0464021389,12150.1246959766,12150.1246959717
"1374",2237,618292726.873859,9548.28704843839,12499.9981662574,9548.28704843839
"1375",2238,282722324.104014,4624.54660647518,29172.9895564467,4624.54660647496
"1376",2240,276611629.650464,46861.7984751171,29871.0354255739,29871.0354255748
"1377",2241,75709369.0811065,65547.0102055679,35306.2521660664,35306.2521660637
"1378",2243,52916532.3886326,94029.2734357345,65863.5006965642,65863.5006965678
"1379",2244,156682332.668714,96386.7799206984,86595.6916236703,86595.6916236734
"1380",2245,353784955.552791,90048.8941814967,99657.4409434547,90048.8941814967
"1381",2246,247509943.719749,82891.4401410595,100573.631479645,82891.4401410602
"1382",2247,36448339.580569,72306.1990286978,78193.1108284463,72306.1990286978
"1383",2248,28006913.5346755,61624.9900612289,53251.7618322123,53251.7618322165
"1384",2249,416405687.889254,52541.4130451306,28317.2542532674,28317.2542532709
"1385",2250,617596133.878307,48289.774876806,3454.60082798232,3454.60082798832
"1386",2251,618306153.045403,45570.9839333083,18955.043293646,18955.0432936476
"1387",2252,374687839.193206,47222.1091971729,42420.7264405254,42420.7264405189
"1388",2253,122453481.76346,55075.4311319998,45029.508899099,45029.5088991052
"1389",2254,163588226.584742,69961.5594266035,55220.8061015187,55220.8061015236
"1390",2255,483005383.341839,86980.6913750064,72960.0892428014,72960.0892428051
"1391",2256,618292726.874004,101171.553103959,85364.0067390655,85364.0067390661
"1392",2257,618294602.61489,76261.1515089475,88941.4598227865,76261.1515089475
"1393",2258,618292726.874004,51453.2949848679,64060.9771929119,51453.2949848679
"1394",2259,618292726.873859,27017.7777907306,39067.3464093779,27017.7777907306
